 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1241020,201502,0601-1200,LAX.Airport,CA,,,,1800,IMC,3,,Daylight,,,TRACON SCT; Tower LAX,Air Carrier,Medium Large Transport,,2,Part 121,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 24R,Final Approach,STAR SEAVU,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 12000; Flight Crew Type 300,,Distraction; Communication Breakdown; Situational Awareness,Party1 ATC; Party2 Flight Crew,1241020,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach,Procedure; Weather,Weather,"We were flying the SEAVU Arrival and ILS 24R transition. It was clear but there was ground fog that made forward visibility about 3 miles. As we were on approach shooting the ILS; SOCAL approach put a 777 in front of us which we called in sight as we were VMC above the weather. Shortly thereafter; approach cleared us for the visual and sent us to tower even though we had never called the field in sight and were shooting the ILS. We switched to tower and told them we were on the ILS; not a visual as we didn't have the field in sight. They then asked if we had the 777; which we didn't have in sight anymore due to the fog. They then instructed us to go-around which we complied with. It was a crazy go around; 'track localizer and climb to 3;000' and as I'm passing 2;500 feet; they tell me to 'maintain 2;000 feet MSL'; which required me to then do a descending go-around while still de-configuring. We were sequenced back in for another ILS approach. On downwind SOCAL again said this would be a visual approach which we said unable; you don't have the required weather for a visual approach. We were then given the ILS to 24R which went uneventfully.",,,,"Pilot reports of an approach into LAX where SCT Approach wanted them to do a visual approach. The weather wasn't good enough for them to do so due to a cloud layer and inability to see traffic to follow. Crew was sent around and then sequenced again for a visual approach which they told the Controller that they couldn't accept a visual because of the weather.",
1241022,201502,1201-1800,ZHN.ARTCC,HI,,,,28000,VMC,,,,,,Center ZHN,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,Oceanic,Class A ZHN,,,,,,,,,,,Navigation Database,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 6000; Flight Crew Type 400,,Confusion; Troubleshooting; Human-Machine Interface,,1241022,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,,Flight Crew Last 90 Days 161; Flight Crew Type 161,,Confusion; Troubleshooting; Human-Machine Interface,,1241168,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy; Deviation - Procedural Maintenance,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC Overrode Automation; Flight Crew Became Reoriented,Aircraft; Incorrect / Not Installed / Unavailable Part; Procedure,Incorrect / Not Installed / Unavailable Part,"I was copilot on flight ZZZ [mainland] to Kona. During preflight; the FMC routing was datalink loaded. The flight pub bag and FMC database were checked to be current. After uploading the winds; the runway and departure were loaded along with the runway in Kona. I did not load the arrival into Kona as I was taught adding the arrival will likely add distance to the flight and could potentially create fuel issues at the critical point. After passing the critical point I attempted to load the arrival and approach for Kona. However; we noticed that there were no arrivals or approaches available to load; only the runway. Further investigation found that there were no departures; arrivals; or approaches in the FMC for any Hawaii airport. We continued raw data on arrival and flew an uneventful ILS approach into Kona. We wrote a maintenance discrepancy in the logbook; notified maintenance via ACARS; and debriefed the mechanic upon arrival into Kona.Today (18 days later); the captain was informed that the aircraft was loaded with an Airbus navigation database and that is what accounted for the lack of coverage for Hawaii. I don't know how I would have caught this on preflight; or how long this plane had been flying with the wrong database.FYI; I had the same experience on Airport ZZZ2 to ZZZ3 [also Hawaii] (8 days ago). Again we flew raw data on the arrival and ILS approach for an uneventful landing. We wrote up the discrepancy and thoroughly debriefed maintenance upon arrival into ZZZ3. I never found out what the problem was but I suspect it was the same issue. I remember looking in the logbook of this plane and noted that it had not been out to Hawaii for at least a couple weeks.",,"Attempts to load arrival STAR and approach in FMC unsuccessful. No data for any Hawaii airport; except runway threshold; available for selection. Flew arrival procedures to Airport Kona using raw data only. Made logbook entry upon arrival and briefed maintenance. ACARS info message sent to company maintenance prior to landing. Notified next day that Airbus Navigation Data was loaded in aircraft by mistake by maintenance.",,"A B737 air crew discovered that they were unable to bring up the required STAR and approaches in FMC. They were later notified that incorrect Airbus data had been loaded in the aircraft by mistake.",
1241037,201502,,,,,,0,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Gate Agent / CSR,,,,Situational Awareness; Human-Machine Interface; Training / Qualification,,1241037,,,,,,,,,,,Ground Event / Encounter Other / Unknown,,Y,Person Ground Personnel,Aircraft In Service At Gate,General Maintenance Action,Equipment / Tooling; Human Factors,Equipment / Tooling,"Today I had a very frightening experience. When I met [the] flight I used SOP. About midway into [passenger] deplaning I notice that the plane was actually moving upwards; so much and so quickly that I immediately called [ramp control] and advised them that the auto leveler had malfunctioned. He came over shortly after my call. While waiting for the mechanic to arrive; I advised the first flight attendant what was happening and that we needed to hurriedly; but safely have all the passengers exit as quickly as possible; as the plane was rising so fast. I hurried everyone off including the flight attendants [as] the door would have been in jeopardy of being unhinged from its foundation. Shortly; maintenance arrived and I asked him if there was anything I could have done differently to prevent this from happening and he said 'no; because the auto levelers were old and in bad need of repair.' The ramp said that this problem has been occurring lately with the 737s and that the company was aware of this; I then asked him why hasn't anything been done to fix the problem; and that if the problem is not resolved someone could be at risk of losing their job; more specifically CSRs; because we are responsible for the safe deplaning of the aircraft. Until the issue is resolved; I will take a photo of every 737 I met in this gate with the date and time stamp on it; so if this situation ever arises I can prove my innocence. I am hoping that will never happen. Finally; if the company is aware of the problem; why hasn't it been fixed?",,,,"An air carrier gate agent reported the leveling system of the jetway he was utilizing to deplane a B737 malfunctioned; resulting in it sinking below the passenger entry/exit threshold and potentially impacting the fully open cabin door. After calling for maintenance the reporter implored the cabin attendants to expedite the passenger deplaning.",
1241065,201502,0001-0600,ZZZ.Airport,US,,,0,,VMC,,,,,,Ground ZZZ,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Distraction; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,1241065,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Distraction; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,1241063,ATC Issue All Types; Conflict Ground Conflict; Critical; Deviation - Procedural Clearance,,,Person Flight Crew,Taxi,Flight Crew Became Reoriented; Flight Crew Took Evasive Action; Flight Crew Returned To Clearance,Procedure; Staffing,Procedure,"Upon landing in Airport ZZZ we were given instructions to taxi via B with no restrictions. We tried contacting ground while on B numerous times to no avail. On B a maintenance plane on E came speeding around the corner and cut us off at the intersection of B and E. Had I not stopped short of E there would have been a collision. Upon reaching the gate I called the tower to inform them of the situation as well.Upon calling the tower they advised us that they were training this evening. In the future it may be necessary to intervene earlier as to avoid a situation such as this.",,"Exiting runway XX at Airport ZZZ we were told taxi bravo and contact ground. On bravo approaching taxiway E; a maintenance aircraft was taxiing on taxiway E at a high rate of speed. We had to brake hard as the maintenance aircraft taxied right in front of us. We tried numerous times to contact ground with no success and we were never given a hold short instructions for the maintenance aircraft. If we did not stop short of E there could have been an aircraft collision. Upon arriving at the gate [the] Captain called the tower to advise them of the incident.",,"An EMB-145 air crew were given instructions to taxi to the gate with no restrictions. While taxiing; a maintenance aircraft cut them off at a high rate of speed. Ground control would not answer calls. The Captain called the tower on the telephone and was informed that they were training a controller that evening.",
1241070,201502,0601-1200,ZZZ.Airport,US,,,0,,,,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1241070,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,1241306,Deviation - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,N,Person Flight Attendant,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Weather,Human Factors,"On taxi out the Captain and I were concerned that the nose wheel might be behaving differently than it had been on taxi out from previous departure. During the course of the discussion we determined that the difference in sound was due to the much colder weather in Airport ZZZ. At that time; tower cleared us for takeoff; which we accepted. We accomplished the takeoff check; took the runway for departure; and climbed out uneventfully. After notifying the flight attendants that we were above 10;000 feet; one of them called to inform us that we had neglected to inform them that we were ready for takeoff; and one of them had to rush back to her seat to get seated on time. We apologized to the flight attendants; then the Captain and I reviewed the events leading up to takeoff and determined that we had forgotten to accomplish the Before Takeoff checklist; resulting in the failure to notify the flight attendants.Threats include the potential for missing an item on the checklist; which happened; and could have resulted in injury to the flight attendants. Slow down and verify following any anomaly after pushback; but before takeoff.",,"[Report narrative contained no aditional information].",,"A CRJ-700 flight crew; taxiing for takeoff; were distracted by unusual nose gear sounds they determined to be associated with the cold conditions. When they were then cleared for takeoff in advance of arriving at the departure runway they mentally entered the 'takeoff mental mode' and departed without completing the before takeoff checklist and; thus; had failed to advise the flight attendants of their imminent departure. Upon climbing through 10;000 feet the flight attendants called to notify of their incomplete SOP.",
1241073,201502,0601-1200,TVC.Airport,MI,,,0,,IMC,Snow; Icing,,Daylight,,,Ground TVC,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification,,1241073,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification,,1240753,Deviation - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Aircraft In Service At Gate,General Work Refused,Equipment / Tooling; Human Factors,Human Factors,"After being pushed back and starting our engines prior to de-icing I noticed that the de-ice truck had a significant amount of smoke coming from the back area where the heat exchanger is on the de-ice truck. I asked the de-ice crew over the radio what was going on and what their plans are. The response I received was that they were 'waiting for the hydraulic fluid that was spilt on the heat exchanger exhaust to burn off'. They also said; 'Our mechanic has already looked at it and said it will clear soon'.I observed the de-ice crew then opening the rear access doors to the truck and when they opened them it appear to give whatever was burning a lot more oxygen and the smoke intensity increased significantly. After that observation I pleaded with them over the radio to not use the truck and shut it off based on my prior experience operating that type of equipment. They again re-affirmed that everything is fine based on what there mechanic told them and that 'a manager' had cleared them to use the truck.We had the aircraft configured for de-ice prior to these conversations. Before I could get another word in the de-ice crew jumped in the burning truck and proceeded to de-ice our aircraft. The crew would not respond to my radio calls for them to stop until I told them that I could smell the fumes in the cabin.As the deiced truck passed the Captain's side of the aircraft I observed flames coming from inside the de-ice truck (the rear access doors were left open by the de-ice crew the whole time; which in itself is a safety risk and not a standard operating procedure for anyone). The crew eventually moved the truck away from the aircraft. After I observed the flames I radioed ground control to call the fire department; as the de-ice crew was still not addressing the situation. After the fire department showed up; the de-ice crew came back on the radio and said they would be getting a different truck.It is still snowing and the same crew showed up with the new de-ice truck and started to de-ice us from the point they stopped with the old truck; and at a speed that would not make it possible to properly de-ice the aircraft. Before I could ask them what they were doing and why they did not start the process over again they were telling us over the radio that they were done and our aircraft was clean. There was no possible way that they could have cleared the aircraft of the old failed fluid; and re-applied new type I and IV.I explained to them that they would have to start the process over. The crew was getting very aggressive over the radio. Another flight then radioed 'this is (XXX); we will take it any way you want to give it'. The truck then left us and de-iced them. We had to then wait for the de-ice crew to return and de-ice us properly. The threat was the complete lack of understanding of the situation by the ground crew. That signal threat made it impossible for myself to accept the de-icing job they were doing.During this event I was on the phone multiple times with my dispatcher and the hub coordinator. Other than to talk to the dispatcher to explain why we were delayed; and to adjust the release and account for the additional fuel burned on the ground during the delay; I as the captain should not have to request that the ground crew do their job properly. I should never have had to debate and plead with the ground crew not to take risks with their safety; as well as mine and the passengers. The risks they took were completely unacceptable.",,"[Report narrative contained no additional information].",,"EMB-145LR flight crew reported while they were getting de-iced they noticed smoke coming from the de-ice truck and became concerned about fire danger to their aircraft. They also reported seemingly substandard de-ice procedures by the same de-ice crew.",
1241140,201502,0601-1200,MMHO.Airport,FO,,,,6000,VMC,,,Daylight,,,TRACON MMHO; Tower MMHO,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,,Part 121,,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness,Party1 ATC; Party2 Flight Crew,1241140,,,,,,,,,,,ATC Issue All Types; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance,Procedure,Procedure,"Mazatlan center left us high at FL200 until we were within 25 NM from the Hermosillo airport. They were mostly occupied talking to other aircraft on frequency. We were finally able to ask for a lower altitude when the frequency cleared at about 25 NM from the airport. Instead of giving us lower; the controller sent us to Hermosillo Approach. We checked on with Hermosillo approach; and the new controller immediately gave us 'Descend to 6;000 feet and cleared VOR DME-2 RWY 23 approach'. At this point we were 20 NM out and still FL200; with the airport in sight. We were unable to accept this approach and told him that we were too high to accept. He denied our request for a visual approach. He came back irritated; and told us 'fly direct to the VOR and enter the published hold; maintain 6;000; then cleared the approach'. This was confusing right away; and after looking at the approach; turned out to be an invalid clearance. The HMO VOR is not an IAF for the approach we were given; and there is no transition to an IAF from the VOR. The controller gave us no instructions on how to begin the approach. About 10 miles out; the approach controller asked us if we were really going to need to enter the hold. We told him that we were way too high; and that we would either need to hold and descend; get vectors to descend; or just do a visual approach. He did not respond. We told him again with no response. Then he called our flight number asking for a response. We answered; but he didn't respond.At this point it was evident that we had lost communications with Hermosillo Approach. We were about 3 miles north of the airport at 10;000 feet. We had a clearance from approach that didn't make any sense. Just before we were going to enter the hold over HMO; we made the decision to contact HMO tower and then we tried to explain the situation. Hermosillo tower figured our position (over the airport at about 7;500 feet) and told us to enter a left base for runway 23. At that point it seemed to us like all clearances were out the window. We continued descending right through 6000 feet on crosswind now on the south side of the airport. Then Hermosillo tower told us to maintain 3;000 and contact approach again. We leveled at 3;000 and switched to approach. We were still flying SE on a crosswind for RWY 23. Approach just wanted to scold us for not complying with his clearance. We told him that we had lost communications; and he informed us that we did not lose communications. We decided not to argue since we were now at 3;000 feet with pattern traffic and terrain nearby. He told us to maintain 3;000 feet and contact tower. We went back to tower and she told us to maintain 3;000 feet and enter a left base for RWY 23. From there on in it was a normal approach to landing except for the fact that tower had no intention of letting us descend below 3;000 feet until we asked at the last moment.We were left very high. Center forgot to ship us to approach. Approach gave us a clearance that we weren't able to comply with; and then issued another clearance which was invalid. Then Approach stopped talking to us. We left frequency without being switched; and then complied with the next controller's clearance which actually made sense.I'm fully willing to admit when I'm wrong; but I feel that we did just about everything that we could do here. If I had to do it again; I would have entered the hold over the VOR as cleared and tried harder to work out the invalid clearance with approach control.This was mainly caused by an approach controller that issued a poor clearance and then either couldn't hear our transmissions or heard and chose not to respond to them.",,,,"CRJ-200 Captain reported ATC communication difficulties on arrival to MMHO.",
1241142,201502,1201-1800,ZZZ.Airport,US,,,0,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,1241142,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Procedural Published Material / Policy,,,Person Flight Crew,Taxi,General None Reported / Taken,Aircraft; Human Factors,Aircraft,"Airplane being flown was dispatched with a (right) thrust reverser deferred (INOP).Approach and landing was into the setting sun but was normal. The Pilot Flying was slightly high according to the PAPI with speed at Vref +/- 0 Kts. It is the Pilot Not Flying's duty to call out any deviations but the Pilot Flying had already acknowledged that he was 'correcting' the higher/steeper (but on-speed) approach.Touchdown was on the touchdown markers at approximately Vref -10 and I monitored the N1 gauges for the amber then green 'REV' annunciation (expecting only the left as the right was deferred) but never saw either. My attention then was to the Air Speed Indicator were I saw (and felt) normal deceleration then outside to judge if we were in danger of overrunning the runway (I judged that we would not) then back to the ASI; I called 75Kts as we decelerated then focused my attention outside to assure myself that we would stop on the runway or taxi off normally.We exited the runway normally at the intersection that was briefed during the approach briefing. As we exited the Pilot Flying said 'the left engine has flamed out'. I looked down and saw that the left Thrust Lever was in the cut-off position and saw the PF turn off the left generator. He did not turn off the left boost pump so I reached up and turned off the left boost pump.At that time ground control called and mentioned that they believed that they saw some 'smoke' coming from the left engine and asked if we needed assistance. We checked for any indication of fire; found none so we taxied to the gate normally (single engine). Post flight inspection detected no abnormalities of evidence of fire/problem.The PF asked after the flight if I had noticed when the engine flamed out. I did not. While I was watching for the 'REV' indications; I did not take notice of N1 (or any other engine indications) nor is it my normal practice to do so. So; I cannot say with any certainty when or if the engine flamed out prior to being shut down. I also do not recall any single or triple chime caution/warnings during the approach/landing (although I was expecting a thrust reverser warning on the rollout because of the deferred right thrust reverser).Per our SOP; during the landing rollout; the Pilot Monitoring is to look for the thrust reverser indications and monitor airspeed. It is not the PM's duty to monitor the engine gauges. Any engine malfunction will likely go unnoticed by the PM during the landing rollout.I am relatively new to this aircraft so my perception of what is happening is still narrow but widening. Additional experience in the aircraft will make me more familiar with normal engine indications during all phases of flight and would allow me to better notice and communicate any abnormalities to the Pilot Flying. This is not to say that I am incapable of performing my duties or need additional training. I feel that I am capable and competent in this aircraft but experience will further expand my practical knowledge and fine-tune my skills.",,,,"CRJ-200 FO reported the left engine flamed out on landing roll.",
1241160,201502,0601-1200,SFO.Airport,CA,,,0,,VMC,,,,,,Ground SFO,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,,Flight Crew Last 90 Days 149; Flight Crew Total 19000; Flight Crew Type 12000,,Situational Awareness,,1241160,,,,,,,,,,,Conflict Ground Conflict; Less Severe,,,Person Flight Crew,Taxi,General Physical Injury / Incapacitation,Human Factors; Procedure,Ambiguous,"While taxiing to runway 1R via taxiway A; [another aircraft] exited from one of the alleyways in front of us onto A. We were approaching the F1 intersection and I stopped our aircraft to confirm with SFO ground control that we were to continue on A and not switch over to taxiway B at F1. Ground control confirmed that they wanted us to continue on A. A couple of hours after takeoff; [a flight attendant] informed me that she and [another flight attendant] had been injured on the taxi out. [One FA] said that her big toe had been injured on a cart and [the other FA] said that she had wrenched her knee while standing in the rear galley. Both FAs declined any medical aid and continued to work the flight. As per the FOM; I notified Dispatch via direct radio contact and I submitted a [report].",,,,"B757 Captain reported two flight attendants were slightly injured when he had to unexpectedly stop taxiing to avoid another aircraft.",
1241164,201502,,ZBW.ARTCC,NH,,,,,,,,,,,Center ZBW,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent,Direct; STAR QUABN3,Class A ZBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,Flight Crew Last 90 Days 150; Flight Crew Total 17000; Flight Crew Type 7000,,Communication Breakdown; Confusion,Party1 ATC; Party2 Flight Crew,1241164,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented,Chart Or Publication; Human Factors,Ambiguous,"While flying the QUABN3 STAR; ATC gave us a hold at ONDEC Intersection (Intersection on the QUABN3 BOS STAR) due to the fact that a snow plow had gotten stuck on the runway in BOS during the snow removal process.  When we left the hold; ATC cleared us direct to UROWT and the QUABN3; and we continued on to BOS.  Nothing happened during the flight; no FAR's or SOP's were broken; and no speed or altitudes were busted.  The flight was uneventful.However; my issue is with the name of the UROWT intersection and possible hear back/read back issues. When spoken; this intersection; UROWT; can be also be heard as 'Your Route'; as in Cleared direct XYZ; the rest of YOUR ROUTE is unchanged.....instead of UROWT; (Spoken as 'YOUR OUT).....particularly with a Boston Controller's accent. So; UROWT and YOUR ROUTE; are very similar; in fact; so similar that it could create hear back/read back issues.  Since neither ONDEC nor UROWT were not on our original flight plan; we did have a little misunderstanding between pilots as to the ATC clearance.  However; we did rectify the situation and the flight continued uneventfully to Boston. Therefore; to prevent any hear back/read back errors; may I suggest that the name of this intersection; UROWT; be changed to prevent any possible hear back/read back errors.",,,,"B757 First Officer reports being cleared direct to UROWT on the QUABN3 arrival to BOS which causes confusion in the cockpit due to the way UROWT is pronounced by the ZBW Controller (your route) and believes it should be changed.",
1241165,201502,1801-2400,MSY.Airport,LA,,,0,,VMC,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,,,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,Flight Crew Last 90 Days 120; Flight Crew Total 11000; Flight Crew Type 3000,,Situational Awareness,,1241165,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General Maintenance Action,Human Factors,Human Factors,"Last day of 3 day trip. Evening departure after 19 hour layover. Arrived at airport approximately 40 minutes prior to pushback. Went to gate to drop off bags. FO stayed to complete Preflight. I went to Ops to flight plan. 25 minutes prior to push I returned to aircraft. Aircraft was not fueled. During Preflight; FO notified me that the FO pubs bag was out of date. I confirmed that the CA's bag was also out of date. Since we had been using our current and up to date iPads for the Jeppesen charts; I assumed that we would be okay. Also due to the fact that we were not at a hub; I did not think we would be able to replace the bags. We had a late push due to fuel servicing. After we were at cruise; I checked and found out that I was supposed to contact the FODM (Flight Operations Documentation Manager) and get a meter authorizing us to proceed. I immediately informed FODM via ACARS and FODM sent me the required meter. I placed the meter in the CA's pubs bag as directed. The Jeppesen Pubs had been expired and we were the only ones that caught it after 2 days.",,,,"B737 Captain reported the onboard pubs were out of date and had gone unnoticed for several days; with the flight crew using their EFB for normal operations.",
1241204,201502,1201-1800,ZME.ARTCC,TN,,,,,VMC,,,Daylight,,,Center ZME,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,IFR,Passenger,FMS Or FMC,Cruise,Direct,Class A ZME,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Situational Awareness,,1241204,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Procedural Clearance; Deviation - Track / Heading All Types,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Overcame Equipment Problem,Aircraft; Human Factors,Ambiguous,"While in cruise flight to CLT; ATC instructed the crew to proceed direct to the MEI waypoint. The waypoint was entered into the FMS and both pilots verified the aircraft was indeed proceeding to the selected course. For an unknown reason the aircraft continued turning past the desired course about 60 degrees although this was not selected. After about 15 seconds the crew noticed the course deviation and corrected. ATC verified we were on course after we initiated the turn back on course.The aircraft deviated from the assigned course for approximately 15 seconds.Verify the aircraft actually intercepts the course it says it will rather than just both crewmembers verifying the aircraft is turning toward the course and the correct course is set.",,,,"EMB-145 FO reported a track deviation when the FMS failed to navigate direct to the cleared fix.",
1241209,201502,0601-1200,ZHU.ARTCC,TX,,,,,IMC,,,Daylight,,,Center ZHU,Air Carrier,EMB ERJ 145 ER/LR,,,Part 121,,,FMS Or FMC,Descent,STAR DRLLR 4,Class E ZHU,,,,,,,,,,,FMS/FMC,,X,Design; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Situational Awareness,,1241209,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance,Aircraft; Human Factors,Aircraft,"Cleared to descend via DRLLR 4 arrival. ATC changed runway assignment to 26L. We didn't notice in time that the FMS had DOMNO twice. After passing DOMNO the autopilot went into roll mode. We put it back into LNAV but ATC gave us a heading to fly and told us to go direct the next fix.The FMS puts two fixes in when changing runways. If we don't trap this error; the autopilot will not lead the turn and will instead go into roll mode after passing the fix that was duplicated. Obviously this put us into an undesired aircraft state and possible traffic conflict. The company can fix this KNOWN error. The RNAV arrival is already busy enough as it is and it's unacceptable for the company to allow this to continue and degrade safety by not fixing this known issue. As it is; the company puts more burden on the crew by just emailing us about this known issue instead of just fixing it already. Please compel the company to fix this known issue as soon as possible in their letter of correction as a condition for them to be admitted into this report; as they are equally culpable.",,,,"EMB-145 FO reported a track deviation on approach when the FMS reverted to roll mode; apparently related to a known duplicate waypoint anomaly.",
